pays Name,pays Code,série Name,série Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Accession à l’enseignement secondaire (%),SE.SEC.PROG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.26841,92.3154,90.76541,..,..,..
Afghanistan,AFG,Adolescents non scolarisés (% des adolescents en âge de fréquenter le 1er cycle du secondaire),SE.SEC.UNER.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Âge de début de l’école primaire (années),SE.PRM.AGES,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Afghanistan,AFG,Âge de début de l’école secondaire (années),SE.SEC.AGES,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Afghanistan,AFG,Capacité (+)/besoin (-) de financement (% du PIB),GC.NLD.TOTL.GD.ZS,..,..,..,..,..,-2.05267546429388,-1.74900704735252,-2.33284862544039,0.283261805159932,1.5031237019132,-0.630811517861432,-0.640739779224387,2.28247071623154,-1.94743593413573,-1.28044038464162,0.675796502609648,0.355603091065277,..,..,..
Afghanistan,AFG,Chômage (% de la population active) (estimation nationale),SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,2.49000000953674,..,..,..,1.69000005722046,..,7.90999984741211,..,..,11.1800003051758,..,..,..
Afghanistan,AFG,Créances sur le gouvernement central (% du PIB),FS.AST.CGOV.GD.ZS,..,..,..,..,..,-11.6151395323031,-7.2151752293674,-5.55502199403893,-6.00758305914186,-6.86373515568696,-7.60054085014712,-6.50721610801864,-6.44976232342758,-4.60734283653133,-4.45565732618117,-5.22860902879619,-6.54614558337648,-9.18893682058827,-8.31947455743161,..
Afghanistan,AFG,Croissance du PIB (% annuel),NY.GDP.MKTP.KD.ZG,..,..,8.83227780370235,1.41411798021913,11.2297148388594,5.35740324754596,13.8263195390595,3.92498382284528,21.390528405312,14.3624414596815,0.426354792856571,12.7522870825789,5.60074466131869,2.72454336495092,1.45131465457983,2.26031420454613,2.64700320230295,1.18922812897529,3.91160341860697,..
Afghanistan,AFG,Croissance du PIB par habitant (% annuel),NY.GDP.PCAP.KD.ZG,..,..,3.86836190347822,-2.87518352770837,7.20793301758562,2.25335741303412,11.0227739357486,1.59421129024312,18.5153687132188,11.264133238155,-2.6810808487635,8.97487956759655,1.97416862890145,-0.665270517697508,-1.62288667166976,-0.541697283221794,0.0642502596261778,-1.19534700138595,1.536912103353,..
Afghanistan,AFG,Croissance du RNB (% annuel),NY.GNP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Croissance du RNB par habitant (% annuel),NY.GNP.PCAP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Dépenses (% du PIB),GC.XPN.TOTL.GD.ZS,..,..,..,..,..,20.5781737687622,24.2432588226125,50.7192978736512,44.3178392396772,50.8630045999057,59.4847758807514,42.3292514484608,42.0936844468805,44.5892994893339,37.0225695736427,43.9227656118877,39.2201099817279,..,..,..
Afghanistan,AFG,Dépenses publiques en éducation (% du PIB),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,3.4794499874115,3.4620099067688,2.60419988632202,3.45445990562439,3.69521999359131,3.2558000087738,4.22836017608643,4.0588698387146,..,..,..
Afghanistan,AFG,"Dépenses publiques en éducation, total (% des dépenses du gouvernement)",SE.XPD.TOTL.GB.ZS,..,..,..,..,..,..,..,..,..,17.0675601959229,16.0484294891357,10.3568000793457,14.1028003692627,14.4659299850464,12.5089998245239,16.2117004394531,15.6613798141479,..,..,..
Afghanistan,AFG,"Dette du gouvernement central, total (% du PIB)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Emploi d’enfants dans le secteur des services (% des enfants économiquement actifs de 7 à 14 ans travaillant dans ce secteur),SL.SRV.0714.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Emploi d’enfants dans le secteur manufacturier (% des enfants économiquement actifs de 7 à 14 ans travaillant dans ce secteur),SL.MNF.0714.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Emploi des enfants dans l’agriculture (% d’enfants économiquement actifs de 7 à 14 ans travaillant dans ce secteur),SL.AGR.0714.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Enfants actifs économiquement, qui étudient et travaillent (% de tous les enfants économiquement actifs de 7 à 14 ans)",SL.TLF.0714.SW.ZS,..,..,..,..,..,..,..,..,..,..,50,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Enfants actifs économiquement, qui travaillent uniquement (% de tous les enfants de 7 à 14 ans)",SL.TLF.0714.WK.ZS,..,..,..,..,..,..,..,..,..,..,50,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Enfants actifs économiquement, total (% des enfants âgés de 7 à 14 ans)",SL.TLF.0714.ZS,..,..,..,..,..,..,..,..,..,..,9.3,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Enfants n’allant pas à l’école primaire,SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Enfants non scolarisés (% des enfants d’âge primaire),SE.PRM.UNER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Épargne brute (% du PIB),NY.GNS.ICTR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Épargne brute (% du RNB),NY.GNS.ICTR.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Épargne intérieure brute (% du PIB),NY.GDS.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Espérance de vie à la naissance, total (années)",SP.DYN.LE00.IN,56.308,56.784,57.271,57.772,58.29,58.826,59.375,59.93,60.484,61.028,61.553,62.054,62.525,62.966,63.377,63.763,64.13,64.486,..,..
Afghanistan,AFG,Indice GINI,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Inflation, déflateur du PIB (% annuel)",NY.GDP.DEFL.KD.ZG,..,..,11.6552382203401,11.2714320716706,10.9127735387643,7.19975129286277,22.5277562093884,2.09628874762078,-2.16340443766715,3.81463032579357,16.593346721495,7.30175647720739,4.82278547610319,0.56694453983522,2.44756300761826,-2.19752646755639,2.403656184075,2.07134858278808,6.52147984504097,..
Afghanistan,AFG,Masse monétaire (% du PIB),FM.LBL.BMNY.GD.ZS,..,..,..,..,..,23.3438645266527,23.833664421484,29.5122807993009,33.0609569578245,35.3505617153186,36.6242278045429,32.9136922701029,32.6820168994225,34.2095967895183,33.9280526549766,37.222818657719,36.8612612981975,36.607493884702,34.9592143138667,..
Afghanistan,AFG,Part des revenus détenus par les 20% moins élevés,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Part des revenus détenus par les 20% plus élevés,SI.DST.05TH.20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,PIB ($ US courants),NY.GDP.MKTP.CD,..,4055179566.34981,4515558808.10994,5226778808.89209,6209137624.77181,6971285594.68013,9747879531.86311,10109225813.6696,12439087076.7667,15856574731.441,17804292964.1045,20001598505.7042,20561069558.2152,20484885119.7348,19907111418.9938,18017749073.9033,18869945677.9599,18353881129.881,19291104007.8299,..
Afghanistan,AFG,PIB par habitant ($ US constants de 2010),NY.GDP.PCAP.KD,..,330.303552908057,343.080889714587,333.216684486798,357.234719908026,365.284494951006,405.548979051796,412.014286663305,488.300250990155,543.303041863931,528.736648057768,576.190125450699,587.565090150175,583.656192833123,574.184114271259,571.07377452356,571.440690906349,564.609991742901,573.287551042738,..
Afghanistan,AFG,PIB par habitant ($ US courants),NY.GDP.PCAP.CD,..,179.426610967229,190.683814295088,211.382116942655,242.031284871985,263.733691663044,359.693237501395,364.6607447985,438.076034406941,543.303041863931,591.162759035926,641.871479157538,637.165523187024,613.856689167623,578.466352941708,509.218661332126,519.884773089339,493.750418116312,507.103431871987,..
Afghanistan,AFG,PIB ($ US constants de 2010),NY.GDP.MKTP.KD,..,7465114629.45783,8124454291.89637,8239343660.83276,9164598458.53792,9655582953.98018,10990594706.5564,11421973770.8233,13865194314.7185,15856574731.441,15924179997.7914,17954877146.6564,18960483969.8941,19477070577.8584,19759744157.4377,20206376461.4103,20741239893.4132,20987900552.5239,21808863988.0303,..
Afghanistan,AFG,Population active avec un niveau d’études de base (% de la population active totale),SL.TLF.BASC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,48.2900009155273,..,..,51.2000007629395,..,..,..
Afghanistan,AFG,Population âgée de 0 à 14 ans (% du total),SP.POP.0014.TO.ZS,48.8226632976331,48.6454045592252,48.413911802484,48.1541398757714,47.8596414936971,47.989741932533,48.1262326324468,48.2271513349048,48.2504110874053,48.1781454062114,47.7015904387273,47.0897594509305,46.3866707443965,45.6405891930531,44.8770388848851,44.2721132547375,43.6825260049196,43.0901755117794,42.4722713889586,..
Afghanistan,AFG,Ratio femmes/hommes des inscriptions dans l’enseignement supérieur,SE.ENR.TERT.FM.ZS,..,..,0.283560007810593,0.282169997692108,..,..,..,..,0.236389994621277,..,0.345649987459183,..,..,0.275999993085861,..,..,..,0.345230013132095,..,..
Afghanistan,AFG,Ratio filles/garçons des inscriptions au primaire (%),SE.ENR.PRIM.FM.ZS,0,0.456930011510849,0.562200009822845,0.432819992303848,0.583339989185333,0.623570024967194,0.613789975643158,0.636420011520386,0.657500028610229,0.679809987545013,0.712580025196075,0.72026002407074,0.702859997749329,0.698249995708466,0.68080997467041,0.679369986057281,0.676169991493225,0.666909992694855,..,..
Afghanistan,AFG,Ratio filles/garçons des inscriptions au secondaire (%),SE.ENR.SECO.FM.ZS,0,..,0.350760012865067,0.209610000252724,0.3264200091362,0.36353999376297,0.375039994716644,0.425500005483627,0.481350004673004,0.497850000858307,0.554260015487671,0.557489991188049,0.552259981632233,0.556400001049042,0.557900011539459,0.571280002593994,0.568419992923737,0.57098001241684,..,..
Afghanistan,AFG,RNB ($ US courants),NY.GNP.MKTP.CD,..,..,..,..,..,..,..,..,12403617031.1715,15884505937.9604,17784879609.8747,20033093818.0157,20632806188.1123,20482514565.8958,20087077459.0293,18197299091.7979,19118263186.9456,18544615039.8087,19597763437.0276,..
Afghanistan,AFG,RNB (dollars US constants 2010),NY.GNP.MKTP.KD,..,..,..,..,..,..,..,..,..,15884505937.9604,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Taux d emploi, 15 ans et plus (%) (estimation nationale)",SL.EMP.TOTL.SP.NE.ZS,..,..,..,..,..,..,..,61.689998626709,..,..,..,46.1599998474121,..,47.6300010681152,..,..,42.0099983215332,..,..,..
Afghanistan,AFG,"Taux d emploi, 15-24 ans (%) (estimation nationale)",SL.EMP.1524.SP.NE.ZS,..,..,..,..,..,..,..,52.6399993896484,..,..,..,37.6399993896484,..,43.6300010681152,..,..,32.3600006103516,..,..,..
Afghanistan,AFG,"Taux d’achèvement de l’école primaire, total (% du groupe d’âge pertinent)",SE.PRM.CMPT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80.4950408935547,84.4149475097656,85.6253280639648,..,..
Afghanistan,AFG,"Taux d’achèvement du premier cycle des études secondaires, total (% du groupe d’âge pertinent)",SE.SEC.CMPT.LO.ZS,..,..,..,..,16.0289402008057,..,..,..,..,..,..,..,..,..,..,50.6940689086914,53.0751419067383,55.3464202880859,..,..
Afghanistan,AFG,Taux d’activité des 15-24 ans (%) (estimation nationale),SL.TLF.ACTI.1524.NE.ZS,..,..,..,..,..,..,..,54.8699989318848,..,..,..,38.7700004577637,..,48.4599990844727,..,..,39.2599983215332,..,..,..
Afghanistan,AFG,Taux d’alphabétisation des jeunes (% des jeunes âgés de 15 à 24 ans),SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,46.9900512695313,..,..,..,..,..,..,65.4205474853516,..,..
